HOLEID,X,Y,Z,Ag ppm,Al ppm,Au ppm,C ppm,Ca ppm,Cl ppm,Cu ppm,F ppm,Fe ppm,K ppm,Mg ppm,Mn ppm,Na ppm,P ppm,Pb ppm,S ppm,Th ppm,U ppm
5,205.78517499996815,-506.81031999737024,271.28,2.4,58600.0,0.33,1000.0,2800.0000000000005,297.73,10900.0,366.61,232399.99999999997,19300.0,9900.0,2096.03,8400.0,813.94,9.35,5100.0,6.08,21.1
5,206.48517499992158,-505.0303199980408,266.11,2.14,64300.0,0.35,900.0,3400.0000000000005,361.37,8700.0,471.51,267700.0,4900.0,24700.000000000004,2778.63,3000.0,1228.77,9.21,3400.0000000000005,5.4,22.61
5,206.93517499987502,-503.90031999722123,262.82,0.3,69400.0,0.06,1000.0,2000.0,512.54,1200.0,506.63,206400.0,5699.999999999999,29700.000000000004,2226.04,2400.0,782.25,2.65,600.0,4.86,5.77
5,207.38517499994487,-502.7603199966252,259.54,0.47,65900.0,0.11,800.0,3100.0,786.91,1900.0,826.41,250200.0,5500.0,18500.0,2887.46,100.0,1034.2,3.48,1000.0,2.38,6.51
5,210.80517499987036,-494.2003199979663,234.8,2.65,42300.00000000001,1.1,1000.0,5200.0,237.68,17400.0,675.72,344700.0,2900.0,8100.000000000001,4169.19,4600.0,1081.67,38.6,11500.0,5.84,92.25
6,493.6051749999169,-530.8303199969232,317.1,0.89,60500.0,0.36,1000.0,6100.0,6994.0,4100.0,2078.0,269100.0,21800.0,18000.0,3545.0,5900.0,722.0,5.49,2300.0,2.88,7.45
6,494.55517499987036,-528.0203199964017,309.03,1.22,56400.0,0.56,900.0,5699.999999999999,2309.72,6100.0,1886.67,301900.0,7300.0,17400.0,6861.94,4300.0,987.5,6.54,3000.0,3.0,11.53
6,495.2351749999216,-525.9903199970722,303.16,1.66,61700.0,0.98,1100.0,10900.0,1837.26,7700.0,857.64,180700.0,10400.0,10000.0,2410.24,26400.0,731.04,17.21,3700.0,12.62,23.99
6,496.79517499986105,-521.3003199975938,289.63,0.7,66400.0,0.26,800.0,6700.0,2939.83,3300.0,2176.09,242600.00000000003,14400.0,22100.0,3994.43,7500.0,759.51,5.49,1600.0,4.06,8.54
6,499.435174999875,-513.3403199966997,266.61,0.75,36100.0,1.98,800.0,22500.0,3860.98,10800.0,476.86,380900.00000000006,4400.0,4800.0,862.47,17300.0,1321.37,21.31,9700.0,1.86,38.2
